MEDLEY_ID	Meantime
T1Q1	58.85
T1Q2	51.7
T1Q3	53.25
T2Q1	66.3
T2Q2	54.25
T2Q3	59.1
T3Q1	71.9
T3Q2	63.55
T3Q3	69.85
T4Q1	44.7
T4Q2	47.5
T4Q3	47.45
T5Q1	101.2
T5Q2	115.75
T5Q3	98.95
T6Q1	75
T6Q2	71.45
T6Q3	67.75
T7Q1	82.83333333
T7Q2	89.94444444
T7Q3	91.33333333
T8Q1	68.75
T8Q2	80.05
T8Q3	85.75
T9Q1	87.3
T9Q2	85.35
T9Q3	86.95
T10Q1	51
T10Q2	46.78571429
T10Q3	45.21428571
T11Q1	66.35714286
T11Q2	60.78571429
T11Q3	51.21428571
T12Q1	66.64285714
T12Q2	75
T12Q3	70.71428571
T13Q1	55.28571429
T13Q2	63.14285714
T13Q3	53.42857143
T14Q1	75
T14Q2	56
T14Q3	58.42857143
T15Q1	67.85714286
T15Q2	69.5
T15Q3	75.5
T16Q1	54.64285714
T16Q2	52.5
T16Q3	53.5
T17Q1	35.71428571
T17Q2	36.42857143
T17Q3	36.85714286
