MedleyID	HasImages	HasTables	NoOfTableRows	AverageDepthOfTree	WordCount	AverageSentenceLength	ContentWordCount	ContentWordCountNoStopwords	ContentWordIncidence	NounCount	NounIncidence	VerbCount	VerbIncidence	AdjectiveCount	AdjectiveIncidence	AdverbCount	AdverbIncidence	NumberCount	NumberIncidence	ReferentialPronounCount	TypeTokenRatio	CommaIndex	ComplexWordCount	AverageNoWordsBeforeMainVb	AverageWordLengthInSyllables	NegationCount	AgentlessPassiveCount	AverageSenseNoContentWords	AverageSenseNoNouns	AverageSenseNoVerbs	AverageSenseNoAdjectives	AverageSenseNoAdverbs	PolysemicWordIndex	AverageNounDistanceToWNRoot	AverageVerbDistanceToWNRoot	AverageNounAndVerbDistanceToWNRoot	AnswerWordsInWordNetRatio	SMOG	SMOGIndex	FleschReadingEase	FleschKincaidGradeLevel	AutomatedReadabilityIndex	GunningFog	ColemanLiau	AverageWordFrequencyAbs	AverageWordFrequencyRel	AverageWordFrequencyRank	AverageContentFrequencyAbs	AverageContentFrequencyRel	AverageContentFrequencyRank	Imagability	ImagabilityFoundOnly	ImagabilityRatio	Familiarity	FamiliarityFoundOnly	FamiliarityRatio	Concreteness	ConcretenessFoundOnly	ConcretenessRatio	AgeOfAcquisition	AgeOfAcquisitionFoundOnly	AgeOfAcquisitionRatio	MeaningfulnessColoradoFoundOnly	MeaningfulnessPavioFoundOnly	ConnectivesCount	TemporalConnectivesCount	CausalConnectivesCount	AdditiveConnectivesCount	
T10Q1	0	0	0	7.38	181.00	11.31	115.00	106.00	635.36	49.00	270.72	41.00	226.52	12.00	66.30	13.00	71.82	4.00	22.10	8.00	0.51	0.04	21.00	3.38	1.39	2.00	0.00	6.77	3.82	12.63	1.92	3.85	0.49	7.46	1.63	4.80	1.00	9.67	9.27	78.03	5.19	5.20	8.80	8.43	876632.12	141.68	724.01	357015.50	57.70	919.85	211.13	373.54	13723.48	330.72	585.12	21496.91	189.68	340.83	12139.41	5.90	6.17	648.90	400.78	669.71	17.00	2.00	6.00	7.00	
T10Q2	0	0	0	8.50	171.00	10.69	108.00	98.00	631.58	44.00	257.31	39.00	228.07	13.00	76.02	12.00	70.18	3.00	17.54	11.00	0.57	0.04	19.00	3.25	1.40	1.00	0.00	6.47	3.75	11.87	1.77	4.00	0.48	7.31	1.74	4.69	1.00	9.35	8.97	77.25	5.14	5.12	8.40	8.72	825192.20	133.37	707.03	383065.31	61.91	896.95	209.53	370.97	12781.19	331.55	587.00	20224.32	179.51	334.26	10411.54	5.97	6.26	615.01	400.45	659.20	17.00	4.00	7.00	8.00	
T10Q3	0	0	0	7.63	155.00	9.69	98.00	90.00	632.26	39.00	251.61	35.00	225.81	11.00	70.97	13.00	83.87	3.00	19.35	7.00	0.58	0.05	19.00	2.88	1.41	1.00	0.00	6.49	3.67	11.80	1.64	4.77	0.47	7.33	1.70	4.67	0.00	9.35	8.97	77.47	4.86	4.62	8.40	7.72	873591.72	141.19	719.14	389013.82	62.87	902.52	218.88	376.32	12476.02	341.30	586.79	19453.87	191.77	335.59	10738.86	5.89	6.21	547.81	402.10	659.20	16.00	3.00	6.00	6.00	
T11Q1	0	0	0	11.14	206.00	29.43	122.00	117.00	592.23	61.00	296.12	24.00	116.50	26.00	126.21	11.00	53.40	8.00	38.83	8.00	0.62	0.05	28.00	11.43	1.55	1.00	0.00	4.89	3.80	12.71	0.69	3.82	0.42	5.76	1.85	4.66	0.89	14.55	13.95	45.55	14.22	15.90	16.80	11.48	899917.44	145.45	851.02	212041.46	34.27	1143.73	233.61	390.42	17053.88	345.86	578.01	25247.83	189.43	355.54	12312.70	4.43	6.07	393.87	421.32	580.00	20.00	2.00	7.00	5.00	
T11Q2	0	0	0	9.43	198.00	28.29	116.00	108.00	585.86	57.00	287.88	28.00	141.41	22.00	111.11	9.00	45.45	7.00	35.35	8.00	0.68	0.05	25.00	11.43	1.51	2.00	0.00	5.28	3.61	12.75	0.73	3.78	0.43	5.69	1.82	4.42	0.91	13.93	13.35	50.37	13.26	14.38	16.00	10.30	935239.49	151.16	916.92	306257.26	49.50	1212.22	228.72	379.01	16010.09	348.60	577.69	24402.24	191.83	342.34	12468.79	4.93	6.15	458.61	418.59	571.64	18.00	2.00	8.00	5.00	
T11Q3	0	0	0	11.29	195.00	27.86	114.00	108.00	584.62	58.00	297.44	25.00	128.21	23.00	117.95	8.00	41.03	7.00	35.90	8.00	0.66	0.05	27.00	11.43	1.56	1.00	0.00	5.03	3.59	12.60	0.74	4.13	0.43	5.44	1.87	4.36	0.88	14.35	13.76	46.24	13.73	15.08	16.00	11.44	939013.06	151.77	905.71	263012.68	42.51	1214.52	224.65	388.03	14826.84	333.43	575.92	22006.37	187.44	350.30	11433.75	4.80	6.29	417.46	426.49	579.00	17.00	2.00	7.00	5.00	
T12Q1	0	0	0	10.57	180.00	25.71	94.00	89.00	522.22	51.00	283.33	23.00	127.78	15.00	83.33	5.00	27.78	2.00	11.11	23.00	0.58	0.08	28.00	7.71	1.54	0.00	0.00	5.06	4.10	9.83	1.53	3.60	0.38	5.70	1.43	4.37	1.00	14.55	13.95	50.55	12.60	12.88	16.00	10.03	936559.70	151.37	808.87	287560.79	46.48	1324.10	275.64	424.75	16813.94	375.36	578.43	22897.06	233.52	391.98	13077.19	5.83	6.68	477.88	458.33	600.00	26.00	3.00	11.00	16.00	
T12Q2	0	0	0	10.57	188.00	26.86	97.00	92.00	515.96	52.00	276.60	24.00	127.66	16.00	85.11	5.00	26.60	2.00	10.64	23.00	0.57	0.09	28.00	7.86	1.51	0.00	0.00	4.97	4.19	9.29	1.38	3.80	0.37	5.64	1.40	4.30	0.80	14.55	13.95	51.78	12.71	13.14	16.00	9.64	990343.93	160.06	781.84	279717.11	45.21	1297.22	285.98	426.77	18588.66	387.45	578.20	25184.48	233.49	397.35	13309.21	5.72	6.60	480.19	456.89	610.13	29.00	3.00	11.00	18.00	
T12Q3	0	0	0	11.00	199.00	28.43	108.00	102.00	542.71	55.00	276.38	31.00	155.78	15.00	75.38	7.00	35.18	2.00	10.05	23.00	0.56	0.08	34.00	7.29	1.57	1.00	0.00	5.26	4.11	9.32	1.53	4.29	0.41	5.53	1.65	4.13	0.94	15.72	15.07	45.34	14.00	14.65	18.00	10.55	923187.79	149.21	906.24	273259.95	44.16	1466.33	265.47	409.59	18583.06	373.75	576.64	26162.50	228.18	379.12	14831.44	5.83	6.63	553.74	443.92	578.29	28.00	4.00	13.00	16.00	
T13Q1	0	0	0	10.50	182.00	13.00	114.00	110.00	626.37	48.00	263.74	41.00	225.27	10.00	54.95	15.00	82.42	1.00	5.49	11.00	0.57	0.04	28.00	2.50	1.55	2.00	0.00	5.08	3.63	8.59	1.10	2.80	0.43	7.57	1.33	4.70	1.00	11.21	10.75	62.09	7.83	7.87	11.20	10.71	579897.27	93.72	1034.51	123869.10	20.02	1332.70	263.99	412.26	19271.36	349.85	546.34	25539.11	249.74	390.00	18230.79	5.41	5.93	562.19	395.14	610.31	29.00	6.00	8.00	13.00	
